location_id,date,rain_mm_sum,rain_mm_max_hourly,precip_mm_sum,soil_moisture_28_100cm_mean,soil_moisture_100_255cm_mean,temp_c_mean,wind_speed_mean,wind_speed_max,soil_temp_deep_mean,wet_hours,latitude,longitude,elevation,rain_cum_3d,rainy_days_3d,rain_cum_7d,rainy_days_7d,rain_cum_15d,rainy_days_15d,rain_cum_30d,rainy_days_30d,soil_moisture_28_100cm_chg_3d,soil_moisture_100_255cm_chg_3d,rain_intensity_ratio,wind_rain_interaction,soil_temp_deep_chg_3d,month,is_monsoon,location_id_encoded,label,label_source
25.69N_94.11E,2016-08-22,11.7,2.9,11.7,0.46704166666666674,0.509875,21.837500000000002,3.091666666666667,6.1,19.820833333333333,6,25.694199,94.11317,1420.0,25.3,3.0,52.7,6.0,216.4,14.0,216.4,14.0,-0.012916666666666576,-0.0021250000000000435,1.5540796963946866,71.36999999999999,0.09583333333333499,8,1,0,1,real_records
25.69N_94.11E,2016-08-23,1.3,0.4,1.3,0.46708333333333335,0.509,21.145833333333332,3.4458333333333333,6.4,19.9,5,25.694199,94.11317,1420.0,25.5,3.0,51.6,6.0,195.3,14.0,217.70000000000002,15.0,-0.006541666666666612,-0.0022083333333333677,0.17635658914728683,8.32,0.09999999999999787,8,1,0,1,real_records
25.69N_94.11E,2016-08-24,4.5,3.1,4.5,0.4639166666666667,0.5082916666666667,22.070833333333336,3.275,5.2,19.9,3,25.694199,94.11317,1420.0,17.5,3.0,39.5,6.0,168.4,14.0,222.20000000000002,16.0,-0.004416666666666624,-0.00216666666666665,0.7974683544303797,23.400000000000002,0.09999999999999787,8,1,0,1,real_records
25.69N_94.11E,2016-08-25,20.3,6.8,20.3,0.4604166666666667,0.5077083333333333,23.008333333333336,3.1833333333333336,6.1,19.9,13,25.694199,94.11317,1420.0,26.1,3.0,51.900000000000006,6.0,159.2,14.0,242.5,17.0,-0.0066250000000000475,-0.00216666666666665,2.7379576107899806,123.83,0.07916666666666572,8,1,0,0,real_records
25.69N_94.11E,2016-08-26,5.9,2.3,5.9,0.46,0.507,22.320833333333336,2.8874999999999997,6.2,20.0,8,25.694199,94.11317,1420.0,30.700000000000003,3.0,57.300000000000004,7.0,140.4,14.0,248.4,18.0,-0.00708333333333333,-0.0020000000000000018,0.7207678883071552,36.580000000000005,0.10000000000000142,8,1,0,0,real_records
25.69N_94.11E,2016-08-27,11.1,2.6,11.1,0.4587916666666667,0.50625,22.59166666666667,3.6791666666666667,6.7,20.0,10,25.694199,94.11317,1420.0,37.3,3.0,67.3,7.0,148.4,14.0,259.5,19.0,-0.005124999999999991,-0.0020416666666667194,1.1545319465081725,74.37,0.10000000000000142,8,1,0,1,real_records
25.69N_94.11E,2016-08-28,12.8,2.3,12.8,0.45858333333333334,0.505875,21.570833333333336,3.2416666666666667,5.9,20.0,19,25.694199,94.11317,1420.0,29.8,3.0,67.6,7.0,144.9,14.0,272.3,20.0,-0.0018333333333333535,-0.0018333333333333535,1.3254437869822486,75.52000000000001,0.10000000000000142,8,1,0,1,real_records
25.69N_94.11E,2016-08-29,9.5,2.0,9.5,0.460875,0.505,21.320833333333333,3.3208333333333333,6.1,20.083333333333332,12,25.694199,94.11317,1420.0,33.4,3.0,65.4,7.0,142.70000000000002,14.0,281.8,21.0,0.0008749999999999591,-0.0020000000000000018,1.0168195718654434,57.949999999999996,0.08333333333333215,8,1,0,1,real_records
25.69N_94.11E,2016-08-30,11.6,1.3,11.6,0.47125,0.505,21.129166666666666,3.404166666666667,6.4,20.1,16,25.694199,94.11317,1420.0,33.9,3.0,75.7,7.0,129.7,14.0,293.4,22.0,0.012458333333333294,-0.0012499999999999734,1.0726552179656539,74.24,0.10000000000000142,8,1,0,0,real_records
25.69N_94.11E,2016-08-31,10.5,3.2,10.5,0.4852916666666667,0.5040416666666666,20.8875,3.6958333333333333,5.8,20.1,11,25.694199,94.11317,1420.0,31.6,3.0,81.7,7.0,137.79999999999998,14.0,303.9,23.0,0.026708333333333334,-0.0018333333333333535,0.8996328029375764,60.9,0.10000000000000142,8,1,0,0,real_records
25.69N_94.11E,2016-09-01,8.0,1.4,8.0,0.4948333333333333,0.504,21.354166666666668,4.6875,8.9,20.154166666666665,15,25.694199,94.11317,1420.0,30.1,3.0,69.4,7.0,129.2,14.0,311.9,24.0,0.03395833333333331,-0.0010000000000000009,0.8069164265129682,71.2,0.07083333333333286,9,1,0,0,real_records
25.69N_94.11E,2016-09-02,4.7,2.1,4.7,0.49804166666666666,0.504,21.462500000000002,4.004166666666667,8.3,20.2,11,25.694199,94.11317,1420.0,23.2,3.0,68.2,7.0,126.0,14.0,316.6,25.0,0.026791666666666658,-0.0010000000000000009,0.4824046920821114,39.010000000000005,0.09999999999999787,9,1,0,0,real_records
25.69N_94.11E,2016-09-03,13.200000000000001,3.2,13.200000000000001,0.497875,0.504,21.59166666666667,3.1916666666666664,5.8,20.2,12,25.694199,94.11317,1420.0,25.9,3.0,70.30000000000001,7.0,138.7,15.0,329.8,26.0,0.012583333333333335,-4.1666666666606567e-05,1.3143669985775248,76.56,0.09999999999999787,9,1,0,0,real_records
25.69N_94.11E,2016-09-04,31.0,7.4,31.0,0.5082916666666667,0.5067916666666666,21.183333333333334,3.25,5.2,20.2,14,25.694199,94.11317,1420.0,48.9,3.0,88.5,7.0,168.6,15.0,360.8,27.0,0.013458333333333405,0.0027916666666666368,2.451977401129944,161.20000000000002,0.04583333333333428,9,1,0,0,real_records
25.69N_94.11E,2016-09-05,24.6,4.4,24.6,0.508375,0.51,21.216666666666665,3.204166666666667,4.7,20.270833333333332,14,25.694199,94.11317,1420.0,68.8,3.0,103.6,7.0,180.7,15.0,385.4,28.0,0.010333333333333361,0.006000000000000005,1.6621621621621623,115.62,0.07083333333333286,9,1,0,0,real_records
25.69N_94.11E,2016-09-06,21.2,2.6,21.2,0.5048333333333334,0.5104583333333333,21.2625,3.3125,5.9,20.3,16,25.694199,94.11317,1420.0,76.8,3.0,113.2,7.0,190.20000000000002,15.0,406.6,29.0,0.006958333333333344,0.006458333333333344,1.3109540636042403,125.08,0.10000000000000142,9,1,0,0,real_records
25.69N_94.11E,2016-09-07,20.900000000000002,5.0,20.900000000000002,0.50975,0.5113333333333333,21.204166666666666,3.3333333333333335,5.4,20.3,17,25.694199,94.11317,1420.0,66.69999999999999,3.0,123.60000000000001,7.0,209.8,15.0,405.1,29.0,0.0014583333333333393,0.004541666666666666,1.1836569579288025,112.86000000000001,0.10000000000000142,9,1,0,1,real_records
25.69N_94.11E,2016-09-08,8.0,2.2,8.0,0.5116666666666667,0.5145000000000001,20.779166666666665,2.8166666666666664,5.6,20.3,12,25.694199,94.11317,1420.0,50.1,3.0,123.60000000000001,7.0,213.3,15.0,381.7,29.0,0.0032916666666666927,0.0045000000000000595,0.4530744336569579,44.8,0.02916666666666856,9,1,0,1,real_records
25.69N_94.11E,2016-09-09,11.5,2.1,11.5,0.5000833333333333,0.5164166666666666,20.837500000000002,3.3874999999999997,6.7,20.345833333333335,16,25.694199,94.11317,1420.0,40.4,3.0,130.4,7.0,204.5,15.0,363.7,29.0,-0.004750000000000032,0.005958333333333288,0.6173312883435582,77.05,0.04583333333333428,9,1,0,1,real_records
25.69N_94.11E,2016-09-10,12.5,2.8,12.5,0.48904166666666665,0.51575,20.579166666666666,3.1875,6.6,20.4,13,25.694199,94.11317,1420.0,31.999999999999996,3.0,129.7,7.0,211.10000000000002,15.0,351.5,29.0,-0.020708333333333384,0.004416666666666735,0.6746337702390132,82.5,0.09999999999999787,9,1,0,2,real_records
25.69N_94.11E,2016-09-11,8.9,2.9,8.9,0.488375,0.515,20.3625,3.466666666666667,6.2,20.4,8,25.694199,94.11317,1420.0,32.9,3.0,107.60000000000001,7.0,208.9,15.0,357.3,29.0,-0.02329166666666671,0.0004999999999999449,0.578996282527881,55.18000000000001,0.09999999999999787,9,1,0,2,real_records
25.69N_94.11E,2016-09-12,10.0,3.0,10.0,0.48466666666666663,0.5140416666666666,20.6125,3.8541666666666665,5.8,20.4,9,25.694199,94.11317,1420.0,31.4,3.0,93.0,7.0,206.10000000000002,15.0,351.00000000000006,29.0,-0.01541666666666669,-0.002375000000000016,0.7526881720430108,58.0,0.05416666666666359,9,1,0,2,real_records
25.69N_94.11E,2016-09-13,16.4,4.3,16.4,0.4777916666666666,0.5132916666666667,20.4375,3.5041666666666664,5.8,20.4,11,25.694199,94.11317,1420.0,35.3,3.0,88.2,7.0,213.0,15.0,355.7,29.0,-0.011250000000000038,-0.00245833333333334,1.3015873015873014,95.11999999999999,0.0,9,1,0,0,real_records
25.69N_94.11E,2016-09-14,14.799999999999999,4.0,14.799999999999999,0.48166666666666663,0.5125416666666667,20.383333333333333,3.158333333333333,6.1,20.42083333333333,7,25.694199,94.11317,1420.0,41.199999999999996,3.0,82.1,7.0,216.20000000000002,15.0,345.90000000000003,29.0,-0.006708333333333372,-0.00245833333333334,1.261875761266748,90.27999999999999,0.02083333333333215,9,1,0,0,real_records
25.69N_94.11E,2016-09-15,10.4,2.4,10.4,0.48100000000000004,0.512,20.662499999999998,3.0083333333333333,6.6,20.5,12,25.694199,94.11317,1420.0,41.599999999999994,3.0,84.5,7.0,216.10000000000002,15.0,353.9,29.0,-0.003666666666666596,-0.0020416666666666083,0.8615384615384616,68.64,0.10000000000000142,9,1,0,0,real_records
25.69N_94.11E,2016-09-16,17.400000000000002,3.5,17.400000000000002,0.47912499999999997,0.5112083333333334,20.595833333333335,3.6,5.9,20.5,15,25.694199,94.11317,1420.0,42.6,3.0,90.4,7.0,225.5,15.0,354.70000000000005,29.0,0.001333333333333353,-0.002083333333333326,1.347345132743363,102.66000000000003,0.10000000000000142,9,1,0,0,real_records
25.69N_94.11E,2016-09-17,18.7,3.4,18.7,0.488125,0.511,20.662499999999998,3.0124999999999997,5.9,20.5,16,25.694199,94.11317,1420.0,46.5,3.0,96.6,7.0,239.5,15.0,365.5,29.0,0.006458333333333344,-0.0015416666666666634,1.355072463768116,110.33,0.07916666666666927,9,1,0,0,real_records
25.69N_94.11E,2016-09-18,9.1,3.4,9.1,0.49420833333333336,0.5102916666666667,20.2,2.8041666666666667,6.9,20.5,9,25.694199,94.11317,1420.0,45.199999999999996,3.0,96.8,7.0,235.4,15.0,374.09999999999997,30.0,0.013208333333333322,-0.0017083333333333117,0.6580578512396694,62.79,0.0,9,1,0,0,real_records
25.69N_94.11E,2016-09-19,19.4,3.8,19.4,0.49441666666666667,0.51,20.2375,3.1916666666666664,5.5,20.5,19,25.694199,94.11317,1420.0,47.199999999999996,3.0,106.19999999999999,7.0,223.8,15.0,392.40000000000003,30.0,0.015291666666666703,-0.0012083333333333668,1.2787193973634652,106.69999999999999,0.0,9,1,0,0,real_records
25.69N_94.11E,2016-09-20,16.2,4.9,16.2,0.5100416666666666,0.5105833333333333,19.775000000000002,3.4875000000000003,6.1,20.5,21,25.694199,94.11317,1420.0,44.699999999999996,3.0,106.0,7.0,215.39999999999998,15.0,396.1,30.0,0.02191666666666664,-0.0004166666666667318,1.069811320754717,98.82,0.0,9,1,0,0,real_records
25.69N_94.11E,2016-09-21,6.2,3.0,6.2,0.5095416666666667,0.5114166666666667,19.845833333333335,2.9791666666666665,4.3,20.5,12,25.694199,94.11317,1420.0,41.8,3.0,97.4,7.0,200.4,15.0,390.6,30.0,0.01533333333333331,0.0011250000000000426,0.4455852156057495,26.66,0.0,9,1,0,1,real_records
25.69N_94.11E,2016-09-22,6.800000000000001,2.6,6.800000000000001,0.5048333333333334,0.511,19.895833333333332,3.1833333333333336,5.6,20.6,6,25.694199,94.11317,1420.0,29.199999999999996,3.0,93.8,7.0,186.29999999999998,15.0,396.1,30.0,0.010416666666666685,0.0010000000000000009,0.5074626865671642,38.08,0.10000000000000142,9,1,0,1,real_records
